class,gui,program,source available,% weighted average,encoding time in seconds,decoding time in seconds,APP,AUDIO (WAV),CAMERA RAW,GUTENBERG,INSTALLER,MOBILE,PGM / PPM,SOURCES,XML,usual file extension,bit depth,cores,when released / developed,where developed (country),algorithms used,program age in years
LZMA,GUI,PIM 2.90 (Best) (2009) Ilya Muravyov,,130.13056,,,109487244,436709530,483882325,321416881,587720438,486662689,344731724,49767293,203090900,.pim,win32,1,1-Jan-2009,Russia,PPM + filters,5.49
LZMA,◦,RINGS 1.5 opt. 9 ('08) Francesco Nania,,130.38652,,,113861705,544680797,494820010,314419309,588280135,485809683,324974451,43596595,191679072,.rings,win32,1,21-Apr-2008,Italy,Fast BWT+MTF+Pre-HUF+ARI,6.18
LZMA,GUI,PIM 2.50 (Best) (2008) Ilya Muravyov,,130.55668,,,110439081,436709095,488735879,321530074,591545645,486662941,346090379,49775490,203090900,.pim,win32,1,22-Jul-2008,Russia,PPMd + filter,5.93
LZMA,GUI,WinZip 11.0 - 11.1 optimize best Corel Corp.,,130.71161,,,123954067,353118653,484871726,323070215,597005138,489111257,345595489,51207954,203200393,.zip,win32,1,18-Oct-2006,United States,LZH + SF + BWT + PPMd,7.69
LZMA,GUI,DZO Compressor 0.1.1 beta Essenso Lab,,130.78348,2489,,91988920,546358648,504943936,330980725,585904942,493369032,370691482,39820387,222285703,.dzo,win32,2,28-Jun-2012,India,deduplication + LZMA,1.99
LZMA,GUI,Stuffit 8.0-8.5 (sitx) (Alladin Systems),,130.80715,,,96178107,541133248,500962506,334586086,585659904,489996550,365991876,40288195,216587257,.sitx,win32,1,1-Jan-2003,United States,"BWT, LZ + ARI, PPM + filter",11.49
LZMA,◦,CM0 (2013) Nauful,,131.17963,5041,,107828454,549287007,495786268,317349443,611304042,503297860,337849662,41114563,203670982,.cm0,win32,2,4-Dec-2013,United States,Fast CM,0.56
LZMA,GUI,"CBT 1.072 β 26 Mode 4, solid K-Shinya",,131.21074,,,111799089,557429839,485751994,315205871,596197591,490123917,347307421,39743605,206679277,.cbt,win32,1,11-Mar-2004,Japan,LZ 77 + BWT,10.29
LZMA,GUI,WinArchiver 3.1 (2013) .MZP best ,,131.51605,3011,,92138575,539821325,505676498,330765243,585758383,487621514,368630301,39668539,238368426,.mzp,win32,1,18-Jun-2013,United States,LZMA,1.02
LZMA,◦,ICT Universal Coder 2.1 ('99),,131.53467,,,115109749,550112440,487586241,315923570,593459230,488289367,331332413,41531113,207696047,.ict,win32,1,16-Dec-1999,United States,PPM,14.53
LZMA,◦,CM0_EXT (2013) Nauful,,131.7435,26502,,110433348,558557651,500305335,324185104,617486813,507092220,343824190,41119319,189676585,.cm0ext,win32,2,4-Dec-2013,United States,Fast CM,0.56
LZMA,◦,HOOK 1.4 ('09) 912 MB Francesco Nania,,131.83259,,,110134915,552653991,502405822,311569828,594752241,495687475,340024410,41936353,209242446,.hook,win32,1,29-Apr-2009,Italy,ADMC + filter,5.16
LZMA,GUI,WinRar 2.90 Final (2001) Eugene Roshal,,131.8514,,,110224188,402585362,517258490,345841601,587893539,488155324,308708335,43915643,262946271,.rar,win32,1,1-Oct-2001,Russia,LZ77 + Huffman,12.74
LZMA,◦,BMA 1.33 -m16m -a (2006) A. Cherenkov,,131.97143,3602,,112958518,425228044,479823864,324950189,585721310,484279511,330089323,55086364,208335680,.bma,win32,1,19-Aug-2006,Russia,BWT + MTF + RLE + ARI,7.85
LZMA,◦,LZPM 0.16 mode ex (2008) Ilya Muravyov,☺,132.03048,,,94890237,564230073,501102036,324796871,590934557,490819022,378820758,39025872,228290688,.lzpm,win32,1,14-Nov-2008,Russia,LZ77 with 8 MB dictionary,5.62
LZMA,◦,COMPROX 0.11.0 ('12) -b200 -F -f Zhang Li,☺,132.1092,1838,,100747414,553606526,510792045,317612755,594851807,485958021,396290778,40117844,207174573,.comprox,win32,2,18-Dec-2012,China,LZ77 + ARI,1.52
LZMA,◦,4x4 0.2 Option 9 (2008) Bulat Ziganshin,☺,132.18261,,,92280013,542869941,501846538,338914222,582182218,489857886,369181487,39307816,244203549,0.4,win32,4,13-Apr-2008,Russia,LZMA,6.2
LZMA,◦,PPMNKM 1.00b1+ -M:50 -MT1 M. Smirnov,,132.29712,,,108202032,565908423,499625063,318266371,586462954,485444737,370821320,38854482,214663204,.ppmnkm,win32,1,10-Aug-2002,Russia,PPM,11.88
LZMA,◦,QC 0.50 (2006) e -8 Denis Kyznetsov,,132.38643,,,108656636,543280782,509650622,336645753,583354739,489757415,343944646,39507499,222572448,.qc,win32,1,17-Sep-2006,Russia,LZ + PPM,7.78
LZMA,GUI,"BioArchiver 1.9 hyper, automatic",,132.57251,,,110194789,558320196,488536455,323205052,598609391,489624805,367267801,41905788,200324625,.bio,win32,1,7-Oct-2001,United States,LZ + PPM,12.72
LZMA,GUI,B1 Free Archiver 1.4.67 (2013) smart,☺,132.61957,2729,,101371338,541028511,502790035,343730280,587069279,489132534,366782307,39783290,225788556,.b1,win32,2,11-Oct-2013,United States,LZMA,0.71
LZMA,◦,LZPM 0.11 (02.09.07) -9 Ilya Muravyov,,132.66529,,,105981478,562837930,499029440,321461252,589834526,488307108,378438292,38779655,218313307,.lzpm,win32,1,2-Sep-2007,Russia,LZ77 + PPM,6.82
LZMA,◦,TarsaLZP Interim (21.08.07) Piotr Tarsa,☺,132.83739,,,111877078,541620909,501567082,319754089,581460403,488286686,363360613,42566306,209645440,.tzr,win32,1,21-Aug-2007,Poland,order-3 LZP + order-2 PPM,6.85
LZMA,◦,Packet 1.0 -s -r -mx6 Francesco Nania,,132.85296,31157,,99077272,496401192,524928911,335141349,579155168,487690587,351050107,44197176,240966863,.packet,win32,1,4-Aug-2013,Italy,LZ77 + Huffman + filter,0.89
LZMA,◦,BALZ 1.15 Mode ex (2008) Ilya Muravyov,☺,132.98143,,,97836059,564089154,500270017,332803843,591055612,491168091,374473809,38914555,233336593,.balz,win64,1,8-Jul-2008,Russia,LZ77 (greedy parsing),5.97
LZMA,◦,ZZIP 0.36 -56m -mm -mx Damien Debin,☺,133.11868,3027,,123336683,438292318,484427499,328148602,589735432,486426165,316830908,54023607,202807804,.zz,win32,1,14-Nov-2002,France,BWT,11.62
LZMA,◦,COMPROLZ 0.10.0 -b250 -F -f  Zhang Li,☺,133.15819,3180,,103283915,553885305,535105797,322560032,588229478,490041425,390529976,40415543,207170626,.comprolz,win32,2,17-Dec-2012,China,LZ77 + ARI,1.53
LZMA,◦,PAQ 1 / KGB Archiver (2002) Matt Mahoney,☺,133.24468,,,111691347,558968216,497779801,325078597,623224719,508596589,345728180,41450794,202348850,.paq1,win32,1,22-Jan-2002,United States,Predictive arithmetic Coding,12.43
LZMA,◦,FBC 1.0 300MB blocksize David Catt,,133.29826,2080,,121472516,549068294,520721113,315675051,606380453,497258374,339035221,42970451,188782715,.fbc,win32,1,29-Feb-2012,Canada + Russia,BWT (DifSufSort Lite) + ARI,2.32
LZMA,GUI,CTXf 0.69 ('03) (Superb) -me -b L. Nikita,☺,133.34803,,,117485136,594118349,522877780,321300315,592810691,489285713,310995994,37513145,223904096,.cxf,win32,1,12-Mar-2003,Belarus,PPM-II + filter,11.29
LZMA,GUI,Stuffit 9.0 - 9.5/10 arsenic (sitx) (Allume),,133.43942,,,132483665,555103236,500965387,292111030,585659904,464478633,359126052,37202616,217629314,.sitx,win32,1,28-Mar-2005,United States,ATOM™ (arsenic),9.24
LZMA,◦,SZIP 1.12a -b41 -o50 Michael Schindler,☺,133.57105,9981,,117749972,553406495,490359935,322617848,596678998,490228358,336655210,41283298,219783245,.sz,win32,1,3-Mar-2000,Austria,BWT (ST6),14.31
LZMA,◦,TC 5.1 Dev 6 (2006) Ilya Muravyov,☺,133.60071,,,117485822,533694947,476848083,358511710,583842755,484655640,338963036,38706701,230731198,.tc,win32,1,21-Nov-2006,Russia,LZ + CM,7.6
LZMA,◦,CMM 17.09.2007 Christopher Mattern,,133.72549,,,109098390,577182253,503636404,319122704,619656890,509076696,355077076,40147922,209938100,.cmm,win32,1,17-Sep-2007,Germany,Context Mixing,6.78
LZMA,◦,RZIP 2.1 -9 -L9 (2006) Andrew Tridgell,,133.81779,,,110869723,554530289,497277050,322003694,577999596,487619593,353559564,40773343,235134104,.rz,win32,1,4-Dec-2006,United States,BWT + filter,7.56
LZMA,◦,SZIP 1.12a -b41 -o10 Michael Schindler,☺,134.03232,2617,,118265223,553408878,490378418,323627864,596725401,490228655,336738043,42120765,220140448,.sz,win32,1,3-Mar-2000,Austria,BWT (ST6),14.31
LZMA,GUI,PIM 2.01  (PPMd) (2007) Ilya Muravyov,,134.22287,,,110430818,554300084,483264629,321530074,591545645,486662941,346090379,49784479,203090900,.pim,win32,1,14-Jun-2007,Russia,PPMd + filter,7.03
LZMA,◦,UFA 0.04 β 1 -mx -mu32 -s -mg Igor Pavlov,,134.53032,,,102719665,513118775,513069462,343802663,589974074,489721065,375101598,40194727,249399841,.ufa,win32,1,1-Mar-1998,Russia,LZ77 + ARI + filter,16.32
LZMA,◦,GRZIP-II 0.2.4 -b8m -l -m4 Ilya Grebnov,☺,134.57999,,,116084065,552379360,485807422,328621553,591539735,488607350,329115175,43421921,231513058,.grz,win32,1,12-Feb-2004,Russia,LZP + BWT + AWFC + MTF + ARI,10.37
LZMA,◦,Disintegrator 0.9b  -mg -4 c ('98) T. Guglielmi,,135.07307,,,114362276,445542140,533919363,342106542,586814539,486559188,403704171,43088775,226317389,.dst,win32,1,23-May-1998,Italy,LZ77 + PPM + DHUF,16.09
LZMA,◦,ECP 0.e.s. (2000) -b127 Michael Semikov,☺,135.18173,,,121950876,561177708,498174723,326837528,588953840,486279803,342462021,42696633,217369080,.ecp,win32,1,18-Aug-2000,Russia,LZP + BWT + MTF + ARI,13.86
LZMA,◦,BruteCM 0.1c (2008) VCORE,,135.21325,,,110651611,568453994,507597894,335409915,616539883,507825102,342211788,42130986,218846099,.bcm,win32,1,29-Feb-2008,Taiwan,Context Mixing,6.32
LZMA,◦,PreComp 0.4.3 Christian Schneider,,135.56429,4787,,117288997,554026701,485444925,300983585,593540724,465869981,354012393,44537348,244389366,.pcf,win32,1,1-Sep-2012,Germany,lzw/zlib/jpeg recompressor + bzip2,1.82
LZMA,◦,PPMX 0.08 (2012) Ilya Muravyov,☺,135.56833,2460,,115083530,568891134,509693152,316240073,594994125,490815079,384428359,42842857,208583207,.ppmx,win32,1,1-Jan-2012,Russia,PPMX,2.49
LZMA,◦,M99 2.2.1 -m 128m Michael A. Maniscalco,,135.57137,,,129072891,538384498,494571779,304145889,591972098,484739970,311474285,57000521,178185035,.m99,win32,1,17-Jul-2008,United States,BWT + MSufSort3.1 + ARI,5.94
LZMA,◦,Tornado 0.5 (fsbench) -11 Bulat Ziganshin,☺,135.5736,,,100081335,524447517,527069916,333150702,578726025,489265917,430726087,41730836,230205985,.tor,win32,1,unknown,Russia,LZ + ARI,#VALUE!
LZMA,GUI,"WinIMP 1.2 max Alg. 1/2, 1020, 16mb",,135.65196,,,106320489,497307336,495905291,348857758,586746309,487311676,353434522,46968355,247354226,.imp,win32,1,13-Jun-2002,Australia,LZ77 + BWT,12.04
LZMA,◦,QUAD 1.12 Final -x (2007) Ilya Muravyov,☺,135.65665,,,105751232,550179090,497208340,343638380,585087868,484798415,375780413,41277843,244639021,.quad,win32,1,7-Apr-2007,Russia,filter + LZ + PPM (ROLZ),7.22
LZMA,◦,TinyCM 0.2 option 8 (2012) David Catt,☺,135.7363,4779,,117552921,572626534,486574278,314517710,588200518,483635881,355771296,44865372,223246172,.tinycm,win32,1,13-Oct-2012,Canada,order 1-2-3-6 context mixing,1.7
LZMA,GUI,7-ZIP 2.3 β 28 solid max (2003) Igor Pavlov,☺,135.78211,,,93620276,541634196,502878621,330433967,587404096,490515110,366121355,53677513,224464582,.7z,win32,1,15-Feb-2003,Russia,LZMA PPMD,11.36
LZMA,◦,FreeHOOK 0.2 option c 912-2-1-6 F. Nania,☺,135.96776,,,116859167,555345940,525993776,310283217,597006214,494438297,364732516,43173815,221543869,.hook,win32,1,7-Apr-2007,Italia / United States,LZP + DMC + filter,7.22
LZMA,◦,Chile 0.3d (2005) -c -v=2 -b=2048,☺,136.27015,,,121804591,554438005,494732211,328120116,591260535,485881030,344544403,42286988,235936103,.chile,win32,1,13-Nov-2005,Romania,BWT + filter,8.62
LZMA,◦,M99 2.2.1 -m 32m Michael A. Maniscalco,,136.29053,,,129072891,538330557,483483006,306652298,591788579,484766539,313902785,57000521,188852254,.m99,win32,1,17-Jul-2008,United States,BWT + MSufSort3.1 + ARI,5.94
LZMA,◦,COMPROLZ 0.1.0 -b256 (2012) Zhang Li,☺,136.39393,3149,,116283646,553885309,535147189,322006084,594798165,495920231,384531089,41063234,218838927,.comprolz,win32,2,7-Oct-2012,China,ROLZ + ARI,1.72
LZMA,GUI,WinTurtle 1.6.0 (2008) Francesco Nania,,136.44853,1266,,124993854,418843361,508385494,344526816,611175419,494243780,365008774,44959664,243161834,.tur,win32,1,1-Jan-2008,Italy,"FPPM, 512 MB buffer, solid",6.49
LZMA,◦,PPMX 0.07 (2011) Ilya Muravyov,☺,136.97813,2435,,116994050,568031507,508711593,318456169,594163111,489788534,381166142,44562877,216863053,.ppmx,win32,1,20-Feb-2011,Russia,order-5 PPM,3.35
LZMA,◦,CAB (LZX21 max) Microsoft Corporation,,136.99946,,,103658331,569143638,511361656,341841938,583442111,487054444,402468499,40793090,242351676,.cab,win32,1,1-Jan-2000,United States,LZX + Huffman + Shannon-Fano,14.49
LZMA,◦,Transform 1.02 (maximum) M. Bone,☺,137.0306,,,122777093,562200718,502823742,333646422,593605126,489332334,351560742,43248341,224368029,.tfm,win32,1,12-Nov-2002,- unknown -,Huffman + BWT + MFT + RLE,11.62
LZMA,◦,CM1 (2013) Nauful,,137.08649,3069,,117228862,542814620,512465506,334962208,589940645,490040116,359724248,43937035,234621686,.cm1,win32,2,9-Dec-2013,United States,Fast CM,0.55
LZMA,GUI,WinTurtle 1.4.0 (2007) Francesco Nania,,137.19234,,,133076772,431582542,501949621,338321819,608496736,495738549,363911429,44561793,238447455,.tur,win32,1,5-Nov-2007,Italy,"FPPM, 512 MB buffer, solid",6.64
LZMA,GUI,WinRar 5.0 non-solid best 1024MB E. Roshal,,137.21516,782,,110776323,432036909,504138793,362363462,579245477,487491543,344720135,57387103,232998397,.rar,win64,8,22-Aug-2013,Russia,LZ77 + Huffman + filter,0.84
LZMA,GUI,WinZip 17.0.10381 PPMd Corel Corp.,,137.27019,3340,,122423943,557033682,484872486,322300682,597005058,490939923,345595121,51771948,203200439,.zipx,win32,1,24-Dec-2011,United States,LZH + SF + BWT + PPMd,2.51
LZMA,◦,BIX 1.00 β7 -s -m1 -mdg ('99) Igor Pavlov,,137.53499,5917,,102426328,574786046,515819352,335793206,593804320,497512746,402142662,42419792,237356450,.bix,win32,1,27-Oct-1999,Russia,LZ + ARI + PPM,14.66
LZMA,◦,Tornado 0.4 -12 (2008) Bulat Ziganshin,☺,137.6626,,,101312258,525637868,522075646,339203277,581939211,489462947,435507523,42056335,248037330,.tor,win32,1,8-Apr-2008,Russia,LZ + ARI,6.22
LZMA,◦,LZXQ 0.3 (2007) Vcore,,137.67806,,,119946244,561340638,501587597,329380316,603767598,497973199,359619434,44674648,225006312,.lzxq,win32,1,27-Jan-2008,Taiwan,LZP + order 4-2-1 ARI,6.41
LZMA,◦,BWTZIP 1.0 ('03) Stephan T. Lavavej,☺,137.78814,,,124598594,572391654,506849776,330650185,618276216,507162281,339279238,42903597,221746547,.bwtzip,win32,1,7-Mar-2003,- unknown -,BWT + MTF-2 + ZLE + Huffman,11.3
LZMA,◦,PreComp 0.4.2 Christian Schneider,,137.81787,4706,,117309103,554026701,485721302,302037213,662499328,492103406,354012394,44552834,244389367,.pcf,win32,1,25-Sep-2011,Germany,lzw/zlib/jpeg recompressor + bzip2,2.75
LZMA,GUI,PIM 1.25 (2006) Ilya Muravyov,,137.96093,,,118211550,453906326,504717071,341296831,586161889,484815060,395849455,49643968,236538947,.pim,win32,1,25-Sep-2006,Russia,LZP + PPM,7.75
LZMA,◦,jTarsaLZP (2012) Piotr Tarsa,☺,137.9634,10920,,119138243,565184095,517385677,328201681,611353872,509016843,365060336,46447306,206667389,.tlzp,JAVA,1,7-Sep-2012,Poland,order-3 LZP + order-2 PPM,1.8
LZMA,◦,COMPROX 0.1.1  (10.2011) Zhang Li opt.9,☺,138.04948,978,,114068027,563611214,502478703,331714516,586950831,487392242,388134680,43103900,240395128,.cox,win32,2,9-Oct-2011,China,LZSS + ARI,2.71
LZMA,◦,Arhangel 1.40  -1 -2 -mt -mm/5/8 -l31900 G. Lyapko,,138.28745,,,127377151,414109592,505116350,336801333,596959683,490765045,307384341,53043903,268699942,.lg,dos16,1,18-Jan-2000,Ukraine,RLE + LZ / PPM + ARI; BMC,14.44
LZMA,◦,BWC 0.99d Willem Monsuwe,☺,138.41345,,,122937482,553850756,494894795,337207965,594590928,489288623,349134139,44115094,243749097,.bc,win32,1,9-Mar-2009,Netherlands,BWT,5.3
LZMA,GUI,ICE-OWS max (2002) Raphaël Mounier,,138.57561,,,121941378,559203026,488622047,323454834,595857165,488783379,352490321,52004680,214993717,.ice,win32,1,19-Jan-2003,France,LZ + PPM II,11.44
LZMA,◦,CROOK 0.1 -m1600 -O7 Juri Valdmann,☺,138.826,2119,,131825277,558607972,506105209,313714771,608815359,496524246,347931011,47215863,216068080,.crook,win32,1,9-Mar-2012,Estonia,bit-level PPM,2.3
LZMA,GUI,12Ghosts 7.0 - 9.7 (ZIP2),,139.12219,,,124368324,554100949,497374100,338174458,594566825,488681118,354067630,44521755,244109443,.exe,win32,1,2-Feb-2005,United States,BWT,9.4
LZMA,◦,DACT 0.8.39 (2004) Roy Keene,,139.13837,,,124593889,552939425,497291626,338484734,589852305,487908959,354494617,44566072,245413944,.dact,win32,1,29-Mar-2004,United States,RLE + LZO + ZLIB + BWT,10.24
LZMA,◦,EXP1 Experimental Archiver 1.0 B. Ziganshin,,139.15348,,,124699168,554027529,497307536,338101588,593658751,488616338,354056112,44484142,244387066,.exp,win32,1,25-Feb-1998,Russia,BZIP2 (BWT),16.34
LZMA,GUI,BZIP2 1.06 (2010) --best Julian Seward,☺,139.16412,973,362,124668515,554028837,497309031,338101826,593685733,488616264,354012758,44530651,244385524,.bz2,win32,1,17-Mar-2008,- unknown -,"BWT, 900kb blocks",6.28
LZMA,◦,PBZIP2 1.1.7 -p8 -9 J.Seward & J.Gilchrist,☺,139.21662,268,117,124877894,553971146,497293620,337931444,593810122,488639302,353920282,44588080,244485873,.bz2,win32,8,11-Dec-2011,United States,"Parallel BWT, 900kb blocks",2.54
LZMA,◦,LBZIP2 0.23 -9 (2011) Laszlo Ersek,☺,139.21797,245,172,124885916,553948496,497286572,337934874,593766509,488631277,353929880,44593389,244481290,.bz2,win32,8,3-Mar-2010,Hungary,"Parallel BWT, 900kb blocks",4.31
LZMA,◦,XTREME 1.06 -m0 -s -t8 ('99) B. Sabin,,139.31002,,,111208219,558365746,522075646,336321699,582949945,487777428,402441466,41973963,255260518,.xtreme,win32,1,26-Apr-1999,- unknown -,LZ77 + Huffman,15.17
LZMA,◦,CSC3 CountrySideCompressor -9 Fu Siyuan,,139.43528,,,101416893,565068388,507678278,345657866,586334524,488417712,405192167,42347894,270417982,.csc3,win32,1,11-Aug-2009,China,LZ77 + ARI + filters,4.88
LZMA,◦,iROLZ (2010) Andrew Polar,☺,139.5692,1610,,106398059,564181812,501013479,349841470,592363258,491381520,380220211,44141947,264149135,.irolz,win32,1,4-Nov-2010,unknown,ROLZ,3.64
LZMA,◦,LZSR 0.01 (2011) Francesco Nania,,139.57927,930,,111646859,554783009,494831432,347265362,586234137,488704485,373361345,43118589,271993931,.lzsr,win32,1,1-Oct-2011,Italia,LZP-LZ77 + SR,2.74
LZMA,◦,COMPROX 0.2.0 (2011) Zhang Li opt.9,☺,139.7234,1014,,114313454,579545738,512895544,339473946,627327795,519108703,369473789,43061571,235687368,.comprox,win32,2,16-Oct-2011,China,LZSS + ARI,2.69
CM,◦,Urban Compressor ('91) U. Koistinen,☺,139.91079,,,130268297,547030119,487528536,329906597,593307632,484069428,345297100,48101506,242196332,.urb,dos16,1,30-Apr-1991,Sweden,(?),23.16
LZMA,◦,TarsaLZP (04.08.2007) Piotr Tarsa,☺,140.29274,,,119652270,585613851,528945788,334446800,638666005,530428771,365375109,45421692,210125221,.tzr,win32,1,4-Aug-2007,Poland,order-3 LZP + order-2 PPM,6.89
LZMA,GUI,WinHKI 1.3 - 1.79 hki1 (04-06) H.P. Imp,,141.08349,,,133687676,554118890,497781185,340866714,593663678,488653347,354881146,44921862,246317161,.hki,win32,1,17-Oct-2005,Germany,HKI,8.69
LZMA,◦,ASD 0.2.0 -m5 -mdh (1998) T. Svensson,,141.23732,,,111560747,572008149,524059578,337951280,582770212,487746292,424366200,42629277,257386209,.asd,win32,1,12-Nov-1998,Sweden,LZ77,15.62
LZMA,◦,LZAP 0.20.0 beta (1998) Mike Goldman,☺,141.36451,,,129146242,554252461,487805169,330832519,590607127,484425757,354450063,49494548,249180676,.lza,dos16,1,25-May-1998,- unknown -,Dynamic Markov Comp.,16.09
LZMA,GUI,Stuffit 7.0-7.5 (2002) Aladdin Systems,,141.57578,,,130672637,557355933,501069368,342552699,597445694,491240975,356262847,45652966,249737668,.sit,win32,1,25-Mar-2002,United States,LZ,12.25
LZMA,GUI,RAR 2.00 (1996) -m5 -md1024 -mm -s,,142.13492,,,123846884,411512894,518224376,379081389,592456838,488623941,311642188,51969434,306134053,.rar,dos16,1,24-May-1996,Russia,LZ77 + Huffman,18.09
LZMA,GUI,RAR 2.50 (1996) -m5 -md1024 -mm -s,,142.13663,,,123846884,411512894,518224586,379067633,592454379,488624239,311642188,51975848,306134053,.rar,dos16,1,24-May-1996,Russia,LZ77 + Huffman,18.09
LZMA,◦,FPAQ S06 (2006),☺,142.17783,,,120143848,549045312,522779225,352548930,595333628,497901902,366717383,47588867,254714562,.fpaq,win32,1,30-Oct-2006,Italy,LZP + PPM + OX,7.66
LZMA,◦,XP v5 c2 (2010) ppmcontext,,142.36241,16037,,125183228,565585134,501529064,347573890,593830572,488045433,392180595,44723095,252179016,.xp,win32,1,30-Nov-2010,- unknown -,ROLZ,3.57
LZMA,◦,LZPXJ 1.0e (2006) Ilya Muravyov,☺,142.56996,,,117407689,561407507,501340307,357220687,583061343,485907980,389356487,44425656,275454598,.lzpxj,win32,1,16-Jan-2006,Russia,LZ + ARI,8.44
LZMA,◦,BGB-LZ2A Brendan G. Bohannon,☺,143.08066,,,118391903,587978055,517290664,339000669,600546394,496868856,415401524,43696731,253438399,.lz2a,win32,1,1-Jun-2005,- unknown -,LZ77 + ARI,9.07
LZMA,GUI,Compress 1.22 (max) Philipp Druyts,,143.10485,,,124668530,553933155,496902041,338101671,593259574,488616423,353509986,55524899,244341547,.pak,win32,1,22-Mar-1998,Belgium,BWT,16.26
LZMA,◦,Archiver 0.2 CM2 (2014) Nauful,,143.14585,,,117395622,586439972,519851911,336169272,602562869,491848379,368058188,53793381,236441474,.parc,win32,2,7-Jan-2014,United States,Fast CM,0.47
LZMA,◦,P12 Neural Network Matt Mahoney,☺,143.31646,,,130968096,551120705,495796654,348975104,614465598,500612752,349022585,52523642,235718663,.p12,win32,1,13-May-2000,United States,Neural Network,14.12
LZMA,◦,SR3 (2007) M. Mahoney & F. Nania,☺,143.3299,,,127354058,563285040,503591684,335791159,587865519,485890400,391552435,48644444,251087995,.sr3,win32,1,27-Oct-2007,U.S.A. / Italy,Symbol Ranking + filters,6.66
LZMA,GUI,PAR 2.00 build 61 (2001) Philipp Druyts,,144.73279,,,132287538,553933463,496902785,340087849,593250754,488553083,353496309,56374428,244342021,.par,win32,1,28-Jan-2001,Belgium,BWT + Huffman,13.41
LZMA,◦,TarsaLZP (2007) Piotr Tarsa,☺,145.16629,,,129368574,557653925,513712905,364007516,638666005,496693761,368901521,56520435,210125221,.tzr,win32,1,6-May-2007,Poland,order-3 LZP + order-2 PPM,7.14
LZMA,GUI,WinZip 17.0.10381 bzip2 Corel Corp.,,145.45435,921,,133681069,553936207,496905314,340402679,593253551,488560067,353509327,57700074,244341849,.zipx,win32,1,24-Dec-2011,United States,LZ + Huffman + SF + BWT,2.51
LZMA,◦,LZPX 1.5b (2005) Ilya Muravyov,☺,146.00212,,,121724441,580882611,514216038,362877902,606266486,502969317,392064549,45641300,276124207,.lzpx,win32,1,16-Nov-2005,Russia,LZ + ARI + PPM,8.61
LZMA,◦,Tornado 0.3 default (2008) Bulat Ziganshin,☺,146.71041,,,109625008,526797146,529540160,368273238,587074180,489916795,441775430,47566239,300115499,.tor,win32,1,2-Apr-2008,Russia,LZ + ARI,6.23
LZMA,◦,SR2 v2 (2008) Piotr Tarsa,☺,146.98353,,,132986742,563062912,503544407,349567461,591840817,486132392,389931824,50752127,269646169,.sr2v2,win32,1,1-Jan-2008,Poland,Symbol Ranking,6.49
LZMA,◦,FCM3-RC (2008) Ilya Muravyov,,147.13313,,,123205230,564307315,499786180,361191488,592539694,490983136,371594131,52384907,287835697,.fcm,win32,1,18-Jun-2008,Russia,Fast CM,6.02
LZMA,◦,BZP 0.3 (2008) Francesco Nania,,147.36647,,,128641104,561118105,499721298,353851100,593412205,487195849,390370758,50356677,284875451,.bzp,win32,1,28-Sep-2008,Italia,LZ + ARI,5.74
LZMA,◦,SLUG X (2009) Christian Martelock,,147.38406,,,121119522,579242558,528982786,364315442,585896363,489921518,404632368,46880770,288321827,.sx,win32,1,13-Jan-2009,Germany,RHSO-LZ,5.45
LZMA,◦,RH4 (2014) Nauful,,147.47121,678,,126080999,573814138,531363220,357558039,589054933,488494018,440352548,45169753,271680632,.rh4,win64,1,18-Feb-2014,United States,ROLZ + Huffman,0.36
LZH,GUI,WinAce 1.2 (1999) max 1024k M. Lemke,,147.75164,,,114984931,573584209,530284960,363810029,588684739,488608806,435273450,46774447,291792623,.ace,win32,1,22-Dec-1999,Germany,LZ77 + Huffman,14.51
LZH,GUI,X1 0.95 β (aum4l3d9) Stig Valentini,,147.76682,,,135296235,582648318,503706006,350127372,609160738,492148775,354961760,55851851,253911382,.x,win32,1,3-May-1997,Danmark,LZ77 + BW5 + PPMZ,17.15
LZH,GUI,ACE-ARCHIVER 1.2 (maximum) M. Lemke,,148.09763,,,113267053,573588289,530282802,363814953,588684449,488608422,435272370,48497803,291794075,.ace,dos16,1,1-Jul-1998,Germany,LZ77,15.99
LZH,◦,4x4 0.2 Option 5 (2008) Bulat Ziganshin,☺,148.41447,,,113365154,552114298,529652896,370464774,587875931,490009961,439654316,47893821,301908844,0.4,win32,4,13-Apr-2008,Russia,LZMA,6.2
LZH,GUI,UC II r3 Pro ('95) stst Nico De Vries,☺,149.0005,,,129910596,514253250,519639028,379350358,593149296,489318744,356461434,52740720,310403084,.uc2,dos16,1,1-Jun-1995,Netherlands,LZ77 + Huffman + filter,19.07
LZH,◦,HA 0.999b (1995) a21r Harri Hirvola,☺,149.69173,18863,,132361955,569599932,511972375,341904923,596833844,490312383,398305266,55378737,275873372,.ha,win32,1,12-Jan-1995,Finland,LZ77 + Huffman / PPMC order-4,19.46
LZH,◦,SEMONE 0.6b2 -mb/mm3 Vladimir Semenyuk,,149.8442,,,126987113,572837639,530765416,379523449,591417913,487494148,345286247,52555563,307212064,.one,dos16,1,30-Jul-1999,Russia,LZ + Huffman + filter,14.91
LZH,◦,LGHA 1.1g /c30000 /l16383 George Lyapko,,150.30246,,,134090584,570351649,534251008,342905475,596889737,490886780,402267633,53043904,280915604,.ha,dos16,1,20-Apr-1999,Ukraine,LZ77 + Huffman / PPMC order-4,15.18
