ID,WRKSTAT,MARITAL,AGEWED,SIBS,CHILDS,AGE,BIRTHMO,ZODIAC,EDUC,DEGREE,PADEG,MADEG,SEX,RACE,INCOME91,RINCOM91,REGION,XNORCSIZ,SIZE,PARTYID,VOTE92,POLVIEWS,CAPPUN,GUNLAW,GRASS,RELIG,LIFE,CHLDIDEL,PILLOK,SEXEDUC,SPANKING,LETDIE1,NEWS,TVHOURS,BIGBAND,BLUGRASS,COUNTRY,BLUES,MUSICALS,CLASSICL,FOLK,JAZZ,OPERA,RAP,HVYMETAL,ATTSPRTS,VISITART,TVSHOWS,TVNEWS,TVPBS,SCITEST4,PARTNERS,SEXFREQ,DWELOWN,SEI,COHORT,INCOME4,DEGREE2,AGECAT4,POLITICS,REGION4,MARRIED,CLASSIC3,JAZZ3,RAP3,BLUES3
358,3,1,17,3,3,40,12,9,16,1,1,1,2,1,21,12,3,2,76,2,2,4,8,1,0,1,3,2,2,1,2,1,4,2,1,1,1,1,2,3,2,2,2,2,5,1,1,3,2,3,2,1,5,1,"29,3",1953,4,0,3,3,2,1,2,1,1,1
359,2,3,99,1,2,46,11,9,12,1,2,1,2,1,3,3,3,2,76,1,1,2,1,0,2,2,0,2,2,1,2,2,1,4,2,2,2,2,2,3,1,1,4,2,5,1,2,2,1,2,1,1,5,2,"37,4",1947,1,0,3,1,2,2,2,1,1,1
360,1,1,21,8,2,40,4,1,12,1,7,1,2,2,18,18,3,2,76,2,1,4,1,1,0,1,3,4,3,2,2,1,1,3,1,1,1,1,2,2,1,1,4,3,4,1,2,3,1,3,2,1,5,1,32,1953,3,0,3,3,2,1,1,1,2,1
361,1,3,99,9,2,43,7,4,10,0,1,0,1,3,21,21,3,2,76,1,1,4,1,0,2,1,0,2,4,1,1,2,3,2,1,1,1,1,2,2,2,2,2,2,5,1,2,2,1,3,3,1,1,1,"26,4",1950,4,0,3,3,2,2,1,1,1,1
362,1,1,19,2,2,46,1,10,12,1,4,1,1,1,18,18,3,6,4,1,1,9,2,1,2,1,2,-1,0,0,0,0,0,1,2,3,2,2,3,3,2,1,3,3,4,1,2,2,1,3,1,2,2,0,"29,2",1947,3,0,3,#NULO!,2,1,2,1,2,1
363,7,1,24,10,4,70,3,12,13,1,0,0,2,1,13,0,3,6,4,5,1,8,8,0,2,1,0,4,3,1,2,2,1,3,2,2,2,2,1,1,2,2,3,1,1,2,1,3,1,3,4,1,4,1,"26,4",1923,1,0,4,#NULO!,2,1,1,1,1,1
364,2,1,20,3,2,32,5,3,12,1,1,0,1,1,19,14,3,6,4,1,1,2,1,0,1,4,0,2,3,1,2,2,2,4,2,2,2,2,2,4,2,2,4,2,4,1,2,2,1,2,1,1,3,1,"48,9",1961,3,0,2,1,2,1,3,1,1,1
365,1,1,19,4,3,37,8,5,12,1,1,8,1,1,19,19,3,6,4,1,1,4,1,2,2,1,3,-1,0,0,0,0,0,3,2,3,2,2,3,3,4,1,4,3,4,1,2,3,1,2,3,1,9,0,"29,2",1956,3,0,2,3,2,1,2,1,2,1
366,4,5,0,13,0,53,6,3,12,1,0,0,1,1,10,0,3,6,4,3,1,5,1,0,2,1,0,3,2,8,2,2,1,1,2,2,2,2,2,2,2,2,4,4,4,2,2,4,1,3,4,0,0,1,"28,6",1940,1,0,4,4,2,2,1,1,3,1
367,7,1,24,4,1,32,5,2,12,1,0,0,2,2,2,1,5,6,9,0,1,5,1,0,2,1,0,2,2,1,1,1,4,12,4,8,3,2,2,2,3,2,3,1,2,2,1,2,1,1,3,1,3,2,"33,1",1961,1,0,2,4,3,1,1,1,1,1
368,1,1,19,1,3,52,7,4,6,0,4,1,1,1,16,16,5,6,9,5,1,4,1,0,1,1,0,2,2,1,2,1,5,4,2,1,1,3,3,3,3,3,5,5,5,2,2,1,2,5,3,1,1,1,"33,1",1941,2,0,4,3,3,1,2,2,3,2
370,3,3,21,3,3,43,1,11,12,1,8,1,2,1,6,6,5,6,9,5,1,4,1,1,2,1,3,-1,0,0,0,0,0,4,3,2,1,2,2,2,2,2,4,5,5,2,2,1,1,3,1,2,1,0,"38,9",1950,1,0,3,3,3,2,1,1,3,1
371,1,5,0,4,1,25,10,7,12,1,0,1,1,2,13,13,5,4,63,5,1,2,1,1,0,1,3,2,1,1,2,2,1,2,3,3,3,2,2,4,4,2,4,2,4,1,2,2,1,2,0,-1,-1,2,"60,5",1968,1,0,1,1,3,2,3,1,1,1
372,1,1,23,3,3,46,7,4,12,1,1,8,1,1,18,18,5,4,63,4,1,4,1,0,2,1,0,3,1,2,1,2,3,4,2,1,1,3,4,3,2,2,4,5,5,2,2,1,1,3,4,1,3,1,"32,3",1947,3,0,3,3,3,1,2,1,3,2
373,7,1,23,7,4,66,5,2,14,1,0,0,2,1,15,0,5,4,63,6,2,6,1,2,2,2,3,-1,0,0,0,0,0,5,1,2,2,2,2,2,2,3,3,5,5,1,1,2,2,2,4,0,0,0,"85,1",1927,2,0,4,5,3,1,1,2,3,1
374,1,3,24,7,3,42,12,9,12,1,8,1,1,1,12,0,5,4,63,5,1,5,1,2,0,2,1,2,2,1,3,1,1,2,2,2,1,3,4,4,2,2,4,5,4,2,2,2,1,5,2,0,0,1,"33,1",1951,1,0,3,4,3,2,3,1,3,2
375,1,3,19,1,2,38,2,11,11,1,1,1,1,3,13,13,5,4,63,7,1,4,1,1,2,2,1,-1,0,0,0,0,0,2,2,3,3,3,3,1,2,2,3,4,4,1,1,4,2,5,2,1,2,0,"42,5",1955,1,0,2,3,3,2,1,1,3,2
376,1,1,21,0,0,23,4,2,14,1,0,1,1,1,11,11,5,4,63,2,2,4,2,0,2,1,0,2,2,1,2,1,2,2,4,4,3,4,4,3,3,3,4,2,3,1,2,2,2,4,2,1,5,2,"37,3",1970,1,0,1,3,3,1,2,2,1,3
378,6,1,19,1,2,35,3,1,12,1,0,1,2,1,9,0,5,6,9,0,1,4,1,1,0,1,2,2,1,1,1,1,2,3,2,4,1,4,3,2,2,4,3,5,5,1,2,1,1,2,4,1,1,1,"38,4",1958,1,0,2,3,3,1,1,3,3,3
379,5,1,35,1,1,62,4,1,14,1,3,1,1,1,20,0,6,6,4,6,1,6,1,2,0,1,3,2,3,1,2,1,1,1,2,3,2,3,2,2,2,4,4,5,5,1,1,2,1,2,4,1,4,1,"62,1",1931,4,0,4,5,3,1,1,3,3,2
380,6,5,0,2,0,19,8,6,11,0,7,3,1,1,14,0,6,6,4,5,1,4,2,1,0,2,3,2,3,1,3,1,1,3,4,8,2,2,4,4,2,2,4,2,2,1,1,1,2,3,4,4,2,1,0,1974,1,0,1,3,3,2,3,1,1,1
381,6,5,0,2,0,19,10,7,11,0,1,1,2,1,19,0,6,6,4,5,1,6,1,1,0,1,3,3,1,1,2,1,3,2,2,8,1,3,3,4,4,3,4,2,3,1,1,1,2,4,3,0,0,1,0,1974,3,0,1,5,3,2,3,2,1,2
382,7,1,16,3,4,58,12,10,14,2,7,8,2,1,16,0,6,6,4,6,1,6,1,1,0,1,2,8,4,2,1,2,1,3,3,3,3,4,3,3,3,4,4,4,5,2,2,2,1,2,4,1,1,1,"38,4",1935,2,0,4,5,3,1,2,3,3,3
383,1,1,26,1,1,59,3,1,16,3,0,0,2,1,19,16,6,6,4,4,1,4,1,0,2,1,0,2,4,1,1,2,1,1,2,2,1,3,3,3,3,5,3,5,5,1,2,1,1,1,4,1,3,1,"73,2",1934,3,1,4,3,3,1,2,3,3,2
385,7,1,20,10,1,68,9,6,9,0,0,0,2,1,11,0,6,2,203,1,2,6,8,1,2,1,2,-1,0,0,0,0,0,6,4,4,2,4,4,4,4,4,4,4,4,2,2,1,1,1,8,0,0,0,"29,3",1925,1,0,4,5,3,1,3,3,3,3
386,1,5,0,5,0,47,12,9,13,1,0,1,1,1,14,12,6,2,203,9,1,9,1,1,2,1,2,-1,0,0,0,0,0,4,4,1,1,2,4,4,2,3,5,5,5,1,2,4,3,3,2,2,2,0,"74,4",1946,1,0,3,#NULO!,3,2,3,2,3,1
387,6,5,0,3,0,19,5,3,11,0,7,4,1,2,18,0,6,2,203,0,2,6,1,1,1,1,3,-1,0,0,0,0,0,3,4,4,5,2,4,3,3,2,4,1,4,1,2,2,2,1,2,3,5,0,0,1974,3,0,1,5,3,2,2,1,1,1
388,1,1,30,1,2,35,1,10,11,0,8,8,1,2,15,6,6,2,203,1,2,6,1,1,2,1,3,-1,0,0,0,0,0,3,5,5,5,2,5,5,5,4,5,3,4,2,2,1,1,2,2,1,5,0,"38,1",1958,2,0,2,5,3,1,3,3,2,1
389,1,3,18,3,4,44,2,11,12,1,7,0,2,2,14,14,6,2,203,1,1,4,2,1,0,1,2,4,2,2,2,1,1,3,4,4,2,3,5,5,5,4,5,3,5,2,2,3,4,4,0,-1,-1,1,"26,4",1949,1,0,3,3,3,2,3,3,2,2
391,3,3,16,2,2,41,11,9,11,1,1,0,2,1,17,17,6,2,203,2,2,4,1,1,2,1,2,-1,0,0,0,0,0,2,8,2,1,2,2,4,2,2,5,3,5,1,2,2,1,3,2,1,4,0,"29,4",1952,2,0,3,3,3,2,3,1,2,1
392,1,1,28,7,2,38,8,6,14,2,0,0,2,2,16,13,6,2,203,1,1,2,2,1,2,1,2,-1,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,4,1,3,0,"63,5",1955,2,0,2,1,3,1,3,3,3,3
393,1,1,23,8,2,36,5,2,18,4,0,0,2,2,20,14,6,2,203,0,1,5,9,0,2,1,0,2,3,1,2,1,2,1,4,2,2,2,2,2,3,2,2,3,3,1,2,2,1,2,2,1,5,1,"63,5",1957,4,1,2,4,3,1,1,1,2,1
394,1,1,27,0,2,43,10,7,13,1,2,1,1,2,19,15,5,3,37,2,2,2,1,1,2,5,3,-1,0,0,0,0,0,5,3,4,2,1,2,3,3,1,3,2,4,2,2,2,1,1,3,2,5,0,"50,7",1950,3,0,3,1,3,1,2,1,1,1
395,7,4,22,6,2,35,9,6,12,0,7,0,2,2,98,0,5,3,37,3,2,9,1,0,8,2,0,9,4,8,8,8,5,1,8,8,8,8,8,2,8,2,4,1,2,2,2,4,1,1,0,-1,-1,2,"22,9",1958,4,0,2,#NULO!,3,2,1,1,1,#NULO!
396,1,5,0,13,0,25,1,11,12,0,7,1,1,2,2,0,5,3,37,3,3,4,8,2,0,2,3,3,4,1,2,2,3,3,3,8,2,8,8,2,2,2,3,4,5,2,2,2,3,3,3,2,5,2,"39,4",1968,1,0,1,3,3,2,1,1,3,#NULO!
397,1,5,0,6,2,25,3,1,14,1,1,1,1,2,17,11,5,3,37,0,1,3,2,1,2,4,2,-1,0,0,0,0,0,2,2,8,3,2,3,2,2,2,3,3,4,1,1,3,3,3,2,3,1,0,"39,4",1968,2,0,1,2,3,2,1,1,2,1
399,1,2,22,2,1,73,2,12,14,1,0,1,1,1,99,0,5,3,23,2,1,4,1,0,2,1,0,3,2,1,3,1,1,2,1,2,2,2,2,8,3,3,4,4,4,2,1,2,1,1,3,1,3,1,"63,5",1920,4,0,4,3,3,2,#NULO!,2,3,1
400,1,1,24,3,2,36,2,12,16,3,7,2,1,1,22,22,5,3,23,2,2,3,1,1,0,4,3,1,2,1,3,1,2,1,2,2,3,1,3,2,3,1,8,4,3,2,1,2,2,2,2,1,4,1,59,1957,4,1,2,2,3,1,1,1,3,1
401,1,1,22,2,2,35,1,10,13,1,0,1,1,1,21,21,5,3,23,4,2,4,1,1,2,2,2,-1,0,0,0,0,0,1,3,2,1,3,3,8,2,4,8,4,2,1,2,2,1,2,2,1,4,0,"48,9",1958,4,0,2,3,3,1,#NULO!,3,3,2
402,7,1,20,0,2,67,7,4,12,1,0,3,2,1,20,0,5,3,23,0,1,4,1,0,2,2,0,9,2,1,1,1,1,10,1,2,2,2,1,3,3,2,5,3,5,2,2,2,1,3,3,0,0,1,"38,4",1926,4,0,4,3,3,1,2,1,2,1
403,1,3,21,3,4,51,5,2,13,1,1,0,2,1,18,17,5,3,74,3,1,4,8,0,2,2,0,2,1,1,2,1,5,0,1,8,2,2,3,1,1,1,4,3,1,1,1,5,5,5,8,1,1,1,"38,4",1942,3,0,4,3,3,2,1,1,2,1
404,1,3,20,3,2,58,3,12,12,1,1,7,2,1,9,9,5,3,74,6,1,6,2,0,2,2,0,2,3,2,3,2,1,4,1,3,4,2,1,2,3,2,4,5,5,2,2,1,1,3,9,0,0,2,"38,4",1935,1,0,4,5,3,2,1,1,3,1
405,1,1,27,1,1,40,10,8,12,1,0,0,2,1,13,10,5,3,74,6,2,6,1,1,2,2,3,-1,0,0,0,0,0,5,2,2,8,8,2,5,8,2,4,2,8,2,2,1,1,1,8,-1,-1,0,"53,3",1953,1,0,3,5,3,1,3,1,1,#NULO!
406,5,3,29,3,0,68,12,10,13,0,7,0,1,1,14,0,5,3,74,5,1,3,1,8,2,2,2,-1,0,0,0,0,0,2,2,3,4,8,2,1,3,8,2,8,8,1,1,5,3,3,3,-1,-1,0,"32,1",1925,1,0,4,2,3,2,1,#NULO!,#NULO!,#NULO!
407,7,5,0,5,1,19,5,2,8,0,7,0,2,2,1,0,5,1,541,4,2,4,1,2,0,4,2,3,1,1,2,1,4,4,4,4,4,2,4,2,4,2,4,1,4,2,2,3,1,1,2,1,1,3,0,1974,1,0,1,3,3,2,1,1,1,1
408,1,1,25,4,2,52,7,5,12,1,0,0,1,2,22,22,5,1,541,0,1,4,1,1,0,1,3,2,1,1,1,1,4,2,2,2,3,1,1,1,2,1,2,3,3,2,2,2,1,2,3,1,5,1,32,1941,4,0,4,3,3,1,1,1,2,1
410,1,1,24,99,3,53,10,7,13,1,0,1,2,1,21,9,5,1,541,5,2,4,1,1,2,1,3,-1,0,0,0,0,0,2,2,1,1,1,1,2,3,3,4,2,4,1,2,3,3,4,2,99,9,0,"36,9",1940,4,0,4,3,3,1,1,2,1,1
411,2,1,19,0,3,63,12,9,14,2,0,0,2,1,12,1,5,1,541,6,1,7,1,0,2,1,0,7,4,2,3,2,2,2,2,2,2,3,3,2,3,3,3,5,5,2,1,5,1,3,4,1,3,1,"62,5",1930,1,0,4,5,3,1,1,2,3,2
412,5,2,29,5,2,75,12,10,16,3,7,1,2,1,15,0,5,1,541,5,1,4,1,1,2,1,2,-1,0,0,0,0,0,2,2,4,5,3,1,1,2,2,3,3,5,2,1,2,1,2,8,0,0,0,"63,5",1918,2,1,4,3,3,2,1,1,2,2
413,1,3,29,5,3,38,11,8,12,1,1,1,2,1,16,0,5,1,541,5,1,2,1,0,1,1,0,8,2,1,2,1,2,2,4,4,2,2,3,2,4,1,4,5,5,1,1,2,1,3,4,1,5,1,"29,8",1955,2,0,2,1,3,2,1,1,3,1
414,1,3,25,2,1,38,8,5,14,2,1,1,2,1,18,18,5,1,541,5,1,4,1,0,2,1,0,2,4,1,1,1,2,1,3,3,2,2,2,2,2,2,4,5,4,1,1,2,3,3,4,2,1,1,"73,2",1955,3,0,2,3,3,2,1,1,3,1
415,2,3,20,4,1,49,9,7,16,3,1,1,1,1,6,6,5,3,12,1,1,6,1,1,0,2,3,2,2,1,3,2,1,1,1,2,2,2,2,2,2,3,3,3,4,1,1,3,3,3,3,0,0,2,37,1944,1,1,3,5,3,2,1,2,2,1
416,2,1,19,3,2,50,6,3,14,2,1,1,2,1,17,5,5,3,12,4,1,6,1,1,0,5,2,2,3,1,1,2,2,4,2,4,2,4,2,2,2,4,3,4,4,1,1,1,1,1,4,1,5,1,"33,1",1943,2,0,4,5,3,1,1,3,3,3
417,5,2,19,5,0,78,12,9,14,1,0,0,2,1,7,0,5,3,12,1,1,3,1,1,0,1,2,4,3,2,1,2,1,8,1,2,2,2,2,2,3,3,2,5,5,2,1,2,1,2,4,0,0,1,"34,6",1915,1,0,4,2,3,2,1,2,3,1
418,4,1,18,9,3,57,8,5,8,0,0,0,1,2,2,2,7,2,101,4,2,8,1,2,2,1,2,-1,0,0,0,0,0,3,8,8,1,2,8,8,8,4,8,8,8,2,2,2,1,5,9,1,4,0,"31,5",1936,1,0,4,#NULO!,3,1,#NULO!,3,#NULO!,1
419,5,2,20,10,2,69,8,6,12,1,0,0,2,2,11,0,7,2,101,0,1,4,2,2,2,1,3,-1,0,0,0,0,0,4,8,8,3,3,8,2,3,3,5,3,8,2,2,4,1,4,9,0,0,0,"27,5",1924,1,0,4,3,3,2,1,2,2,2
420,5,1,21,2,0,68,12,9,12,1,0,0,2,1,17,0,7,4,6,0,1,4,1,0,2,2,0,2,8,1,2,1,1,4,1,2,1,2,2,3,2,3,3,4,5,1,2,2,1,2,4,1,2,1,"33,1",1925,2,0,4,3,3,1,2,2,3,1
422,1,1,29,4,2,58,8,5,12,1,0,1,1,1,17,11,7,4,6,6,1,6,1,0,2,1,0,2,2,1,2,1,1,4,1,2,1,4,2,2,3,4,3,5,5,1,2,1,1,2,0,-1,-1,1,"50,7",1935,2,0,4,5,3,1,1,3,3,3
423,1,1,20,3,2,45,1,11,13,1,1,0,2,1,19,11,7,4,6,4,1,4,1,1,0,1,2,2,3,1,2,2,1,1,3,4,1,3,2,2,2,3,3,3,5,1,2,4,1,4,3,1,4,1,"38,4",1948,3,0,3,3,3,1,1,2,2,2
424,1,5,0,1,0,20,8,5,12,1,3,1,1,1,15,4,7,4,6,5,2,5,1,1,0,1,2,2,1,1,2,1,1,2,2,4,1,1,1,1,3,2,2,2,2,1,1,1,1,1,4,0,0,2,"31,5",1973,2,0,1,4,3,2,1,1,1,1
425,2,1,31,8,0,78,6,3,9,0,8,0,1,1,17,6,7,4,6,1,1,6,1,1,2,1,2,-1,0,0,0,0,0,5,4,4,1,4,2,5,8,4,5,8,8,2,2,1,1,3,4,-1,-1,0,"49,3",1915,2,0,4,5,3,1,3,3,#NULO!,3
426,5,2,26,1,3,52,7,4,14,2,0,0,1,1,8,0,7,4,6,3,1,5,8,2,2,1,2,-1,0,0,0,0,0,1,3,3,3,4,3,3,3,3,5,5,5,2,2,4,1,4,4,0,0,0,30,1941,1,0,4,4,3,2,2,2,3,3
427,1,1,30,6,1,39,10,7,14,2,0,0,1,1,14,8,7,4,6,0,1,4,1,1,0,1,3,2,2,2,2,1,1,2,2,3,1,3,3,4,3,3,4,4,5,2,2,3,1,3,4,1,5,1,"33,1",1954,1,0,2,3,3,1,3,2,3,2
428,5,2,32,0,3,81,7,4,12,1,7,0,2,1,4,0,7,6,5,3,2,4,2,0,2,2,0,3,2,1,2,1,3,6,1,1,3,8,1,4,3,5,3,5,5,2,2,4,1,3,2,0,0,1,0,1912,1,0,4,3,3,2,3,3,3,#NULO!
429,2,3,18,7,1,36,9,6,12,1,1,0,2,3,6,3,7,6,5,3,2,8,2,0,2,2,0,4,3,2,2,8,3,2,2,2,2,3,3,8,3,3,8,4,5,1,1,4,4,4,2,1,3,2,"22,5",1957,1,0,2,#NULO!,3,2,#NULO!,2,3,2
430,1,1,26,19,7,51,7,4,0,0,0,0,2,3,9,3,7,6,5,5,2,4,1,1,2,2,2,-1,0,0,0,0,0,0,2,8,1,2,2,2,3,2,5,2,5,2,2,5,5,5,8,1,3,0,"29,3",1942,1,0,4,3,3,1,1,1,1,1
431,1,2,20,5,1,78,10,7,18,3,0,0,2,1,16,16,7,6,5,0,1,4,1,0,2,1,0,2,8,1,2,1,1,2,1,3,1,2,1,1,1,3,1,4,3,1,1,3,1,2,3,0,0,2,"78,5",1915,2,1,4,3,3,2,1,2,3,1
432,1,1,18,4,2,25,5,3,12,1,0,0,2,3,16,11,7,6,5,3,2,4,2,2,2,2,1,-1,0,0,0,0,0,0,8,8,4,4,4,8,4,4,4,4,4,2,2,4,4,4,2,1,6,0,32,1968,2,0,1,3,3,1,#NULO!,3,3,3
434,1,1,22,2,4,36,5,3,19,4,1,3,1,1,17,17,6,6,82,0,1,3,1,1,1,1,3,-1,0,0,0,0,0,2,4,3,2,2,5,2,4,3,5,5,5,1,2,3,1,2,1,1,5,0,"92,3",1957,2,1,2,2,3,1,1,2,3,1
435,7,1,22,5,1,33,10,7,16,3,1,1,2,1,1,99,6,6,82,6,1,4,1,1,2,2,3,-1,0,0,0,0,0,3,8,2,1,3,3,2,2,9,4,5,5,2,1,1,1,3,2,1,4,0,"57,1",1960,1,1,2,3,3,1,1,#NULO!,3,2
436,5,1,21,6,2,51,3,1,12,1,0,0,1,1,19,0,6,6,82,7,1,5,1,2,2,1,2,-1,0,0,0,0,0,3,4,1,1,4,3,2,1,3,4,4,5,2,2,5,1,1,4,1,5,0,"34,2",1942,3,0,4,4,3,1,1,2,3,3
437,3,1,20,3,2,47,3,12,14,2,0,0,2,1,19,11,6,6,82,2,1,4,1,2,1,1,3,-1,0,0,0,0,0,2,2,4,1,2,2,2,2,2,4,3,5,1,1,2,2,4,4,2,6,0,"39,4",1946,3,0,3,3,3,1,1,1,2,1
438,2,5,0,1,0,21,11,8,13,1,1,1,2,1,19,10,6,6,82,6,2,5,1,1,0,1,3,2,1,1,1,1,4,1,5,5,3,4,5,5,5,4,5,3,5,1,2,4,3,4,0,-1,-1,1,"53,3",1972,3,0,1,4,3,2,3,3,2,3
439,7,1,31,4,2,59,8,5,12,1,0,0,2,1,16,0,6,4,4,4,2,4,1,2,2,1,3,-1,0,0,0,0,0,0,8,2,2,8,4,2,1,8,4,5,5,2,2,4,1,2,4,1,9,0,"62,2",1934,2,0,4,3,3,1,1,#NULO!,3,#NULO!
441,1,1,18,4,1,23,9,6,11,0,0,0,2,1,98,98,6,4,4,0,2,3,1,1,0,1,2,2,1,1,2,2,2,4,4,4,2,3,4,4,4,3,4,4,5,1,1,4,2,4,4,1,5,2,"32,4",1970,4,0,1,2,3,1,3,2,3,2
442,5,1,23,10,2,76,9,6,7,0,9,0,1,1,16,0,6,4,4,1,1,2,1,0,2,1,0,3,4,2,2,1,1,3,1,3,2,5,4,4,2,5,8,8,5,2,2,4,1,5,4,-1,-1,1,"36,5",1917,2,0,4,1,3,1,3,3,#NULO!,3
443,1,1,19,2,2,40,9,6,12,1,1,1,2,1,18,7,6,4,4,5,2,5,1,1,0,1,3,2,4,1,2,2,2,1,4,3,2,4,3,4,4,3,5,3,5,1,2,3,2,4,4,1,4,1,"37,4",1953,3,0,3,4,3,1,3,2,2,3
444,7,1,16,9,4,38,9,7,12,1,0,0,2,1,9,3,6,4,4,3,2,6,8,2,0,1,2,8,4,2,1,8,4,5,8,2,2,2,8,8,2,8,8,4,5,2,2,3,1,2,4,1,9,2,"32,4",1955,1,0,2,5,3,1,#NULO!,#NULO!,3,1
445,7,2,18,11,2,66,1,10,12,1,0,0,2,1,6,0,5,2,24,2,2,7,2,1,0,1,2,2,4,1,3,2,1,8,2,2,1,2,3,3,2,4,5,5,5,2,1,1,1,1,4,0,0,2,"29,2",1927,1,0,4,5,3,2,2,3,3,1
446,5,2,23,9,2,73,5,2,7,0,0,0,2,1,4,0,5,2,24,3,2,8,1,1,0,1,3,2,4,1,1,1,5,5,8,2,1,8,8,8,8,8,4,8,8,2,2,1,4,5,4,0,0,2,"26,7",1920,1,0,4,#NULO!,3,2,#NULO!,#NULO!,#NULO!,#NULO!
447,5,5,0,9,0,80,7,5,8,0,0,8,1,1,3,0,5,2,24,5,1,4,8,0,2,1,0,3,4,2,3,8,1,4,4,3,2,9,4,5,3,4,5,5,5,2,2,2,1,5,4,-1,-1,2,"48,5",1913,1,0,4,3,3,2,3,3,3,#NULO!
448,7,3,16,3,1,57,7,4,6,0,8,8,2,1,4,0,5,2,24,1,2,8,1,0,2,1,0,2,2,2,1,1,5,4,4,2,3,4,9,4,4,4,4,5,5,2,2,1,2,5,4,-1,-1,2,"32,4",1936,1,0,4,#NULO!,3,2,3,3,3,3
449,5,2,38,0,0,78,3,12,11,0,0,0,2,1,6,0,5,2,24,6,1,1,1,1,2,1,3,-1,0,0,0,0,0,7,1,1,1,1,1,1,1,5,1,5,5,2,2,1,1,1,2,0,0,0,"26,4",1915,1,0,4,1,3,2,1,3,3,1
450,5,5,0,6,0,66,12,9,12,1,0,0,2,1,4,0,5,2,24,5,2,6,1,1,0,1,2,4,3,2,2,2,1,4,2,1,1,2,2,3,3,3,4,5,5,2,2,3,1,2,4,0,0,2,"17,1",1927,1,0,4,5,3,2,2,2,3,1
451,5,2,25,2,2,88,2,11,12,1,0,0,1,1,16,0,5,2,43,6,1,6,1,1,0,1,2,9,8,1,3,8,1,5,8,2,2,4,8,2,4,2,8,4,8,2,2,8,1,8,8,0,0,1,"48,9",1905,2,0,4,5,3,2,1,1,3,3
452,7,1,21,4,5,58,7,4,12,1,0,8,2,1,17,0,5,2,43,0,1,4,1,0,2,1,0,2,2,1,1,2,4,5,1,2,4,4,2,2,2,3,4,4,4,2,2,5,2,2,3,1,2,1,"38,9",1935,2,0,4,3,3,1,1,2,3,3
453,4,5,0,3,0,39,5,2,12,1,1,0,1,1,13,13,5,2,43,0,1,3,1,0,2,1,0,2,2,1,2,1,2,3,2,2,2,2,8,8,2,2,8,5,5,2,1,2,2,1,8,1,4,1,"40,9",1954,1,0,2,2,3,2,#NULO!,1,3,1
454,1,3,18,2,0,31,9,7,12,1,1,1,2,1,12,12,5,2,43,5,1,5,2,0,1,1,0,3,2,1,4,2,2,2,3,2,4,2,2,1,2,2,3,2,3,1,1,4,2,2,3,4,3,2,"64,4",1962,1,0,2,4,3,2,1,1,1,1
455,1,1,22,1,3,51,8,5,16,3,2,1,2,1,15,8,5,2,43,4,1,5,2,0,2,1,0,2,2,1,2,2,1,3,2,2,1,3,2,3,3,3,8,5,5,2,2,2,1,2,3,1,5,1,"53,3",1942,2,1,4,4,3,1,2,2,3,2
456,1,1,22,2,3,37,10,7,17,3,1,1,1,1,14,14,5,4,1,4,1,2,1,1,0,1,3,3,4,1,2,2,2,1,2,3,2,4,2,2,2,3,3,5,5,1,2,3,2,2,4,1,4,1,"50,7",1956,1,1,2,1,3,1,1,2,3,3
457,2,1,18,2,2,32,2,12,12,1,1,1,2,1,13,3,5,4,1,2,2,4,1,1,2,1,2,-1,0,0,0,0,0,1,3,2,2,2,4,3,3,2,4,4,4,2,2,2,5,4,4,1,2,0,"56,6",1961,1,0,2,3,3,1,2,1,3,1
458,5,2,22,3,1,73,3,12,8,0,0,0,2,1,6,0,5,4,1,6,1,3,1,1,2,1,2,-1,0,0,0,0,0,6,4,4,1,3,4,5,2,4,4,4,5,2,2,1,5,4,2,99,9,0,"22,5",1920,1,0,4,2,3,2,3,3,3,2
459,1,1,22,1,2,47,1,11,16,3,3,0,1,1,19,18,5,4,1,5,1,6,1,0,2,1,0,2,3,1,2,1,2,1,2,3,3,3,2,3,2,3,4,4,5,1,2,3,4,4,8,1,4,1,"63,5",1946,3,1,3,5,3,1,2,2,3,2
460,7,2,27,2,4,71,1,11,16,3,0,2,2,1,22,0,5,4,1,6,1,5,1,1,0,2,2,4,3,1,2,2,1,4,2,3,3,3,1,2,2,3,2,4,8,1,2,1,1,4,8,0,0,1,"80,3",1922,4,1,4,4,3,2,1,2,3,2
461,4,3,24,2,0,42,1,10,14,2,1,1,1,1,9,0,3,4,5,1,1,4,1,1,0,1,3,2,3,1,2,1,1,2,2,1,1,2,3,2,1,2,2,4,4,1,2,2,1,2,4,1,1,2,"64,8",1951,1,0,3,3,2,2,1,1,3,1
462,5,2,18,0,3,75,6,3,12,1,0,0,2,1,9,0,5,4,5,1,1,4,1,1,8,1,2,-1,0,0,0,0,0,4,8,2,2,2,3,3,2,3,3,4,5,1,2,2,1,3,4,0,9,0,"53,7",1918,1,0,4,3,3,2,2,2,3,1
463,7,3,20,5,4,72,6,3,10,0,0,0,2,1,4,0,3,3,27,3,2,8,2,1,2,1,3,-1,0,0,0,0,0,6,2,4,2,4,3,3,4,4,4,4,4,2,2,2,4,5,4,0,0,0,"17,1",1921,1,0,4,#NULO!,2,2,2,3,3,3
